,asOfDate,symbol,AccountsPayable,AccountsReceivable,NetIncome,StockholdersEquity,Inventory,GrossProfit,OperatingRevenue,TotalRevenue,OperatingCashFlow,TotalDebt,RetainedEarnings,DilutedEPS,DepreciationAndAmortizationInIncomeStatement,WorkingCapital,EBIT
2,2024-03-31,TRENT.NS,7739100000.0,817400000.0,7042300000.0,40677400000.0,15827300000.0,12809800000.0,31279000000.0,31279000000.0,,17529900000.0,16483300000.0,,2129400000.0,15683800000.0,9515700000.0
3,2024-06-30,TRENT.NS,,,3925800000.0,,,18529000000.0,41044400000.0,41044400000.0,,,,11.04,1813200000.0,,5329400000.0
4,2024-09-30,TRENT.NS,9807400000.0,624100000.0,3387400000.0,46797000000.0,20120200000.0,17927400000.0,41566700000.0,41566700000.0,,18422000000.0,,9.53,1969500000.0,16214400000.0,4998100000.0
5,2024-12-31,TRENT.NS,,,4972500000.0,,,20403100000.0,46565600000.0,46565600000.0,,,,13.99,2449300000.0,,6823100000.0
0,2023-09-30,ULTRACEMCO.NS,74749000000.0,38796000000.0,,561468600000.0,76456000000.0,,,,,114594700000.0,,44.43,,-41438900000.0,
1,2023-12-31,ULTRACEMCO.NS,,,17769800000.0,,,140845700000.0,167399700000.0,167399700000.0,,,,61.61,7834800000.0,,26173300000.0
2,2024-03-31,ULTRACEMCO.NS,84783300000.0,42781600000.0,22581200000.0,602274800000.0,83297400000.0,140197100000.0,193203300000.0,193203300000.0,,114029500000.0,99246000000.0,,8149200000.0,-37624900000.0,33634500000.0
3,2024-06-30,ULTRACEMCO.NS,,,16965900000.0,,,148456200000.0,180695600000.0,180695600000.0,,,,58.82,8425400000.0,,23978700000.0
4,2024-09-30,ULTRACEMCO.NS,78076700000.0,43631200000.0,8200400000.0,613650500000.0,90282800000.0,127182300000.0,156347300000.0,156347300000.0,,169638500000.0,,28.43,9038500000.0,-46604100000.0,13337100000.0
5,2024-12-31,ULTRACEMCO.NS,,,14695100000.0,,,138971300000.0,171933300000.0,171933300000.0,,,,50.94,9167300000.0,,22134000000.0
0,2023-09-30,WIPRO.NS,78857000000.0,108146000000.0,,698911000000.0,1281000000.0,,,,38633000000.0,179175000000.0,577487000000.0,2.52,,329251000000.0,
1,2023-12-31,WIPRO.NS,,,26942000000.0,,,68225000000.0,222051000000.0,222051000000.0,,,,2.58,,,38646000000.0
2,2024-03-31,WIPRO.NS,23275000000.0,115477000000.0,28346000000.0,749883000000.0,907000000.0,64864000000.0,222083000000.0,222083000000.0,,164649000000.0,630936000000.0,,,398204000000.0,41930000000.0
3,2024-06-30,WIPRO.NS,22203000000.0,114071000000.0,30032000000.0,780093000000.0,912000000.0,66332000000.0,219638000000.0,219638000000.0,39959000000.0,168906000000.0,661495000000.0,2.865,,437154000000.0,43504000000.0
4,2024-09-30,WIPRO.NS,19765000000.0,112655000000.0,32088000000.0,818343000000.0,1052000000.0,67967000000.0,223016000000.0,223016000000.0,42689000000.0,192822000000.0,693688000000.0,3.06,,475538000000.0,46347000000.0
5,2024-12-31,WIPRO.NS,16050000000.0,114616000000.0,33538000000.0,853849000000.0,724000000.0,69266000000.0,223188000000.0,223188000000.0,,193559000000.0,733625000000.0,3.2,,513843000000.0,48679000000.0
